"AnnoMese";"Postazione";"Giorno";"N Giorno Settimana";"Strada";"Transiti - Totale";"Transiti - Non Classificato";"Transiti - Leggeri";"Transiti - Pesanti";"Transiti - Diurno";"Transiti - Notturno";"Transiti - Feriali";"Transiti - Festivi"
"2025/02";"53";"18/02/2025";"2";"SS 309 a San Giuseppe di Comacchio";"10.524";"0";"6.243";"4.281";"8.385";"2.139";"10.524";"0"
"2025/02";"53";"19/02/2025";"3";"SS 309 a San Giuseppe di Comacchio";"10.604";"0";"6.449";"4.155";"8.417";"2.187";"10.604";"0"
"2025/02";"53";"20/02/2025";"4";"SS 309 a San Giuseppe di Comacchio";"11.048";"0";"6.949";"4.099";"8.795";"2.253";"11.048";"0"
"2025/02";"53";"21/02/2025";"5";"SS 309 a San Giuseppe di Comacchio";"10.836";"0";"7.584";"3.252";"8.452";"2.384";"10.836";"0"
"2025/02";"53";"22/02/2025";"6";"SS 309 a San Giuseppe di Comacchio";"8.530";"0";"7.565";"965";"6.479";"2.051";"0";"8.530"
"2025/02";"53";"23/02/2025";"7";"SS 309 a San Giuseppe di Comacchio";"8.496";"0";"8.138";"358";"6.613";"1.883";"0";"8.496"
"2025/02";"53";"24/02/2025";"1";"SS 309 a San Giuseppe di Comacchio";"10.190";"0";"6.442";"3.748";"8.046";"2.144";"10.190";"0"
"2025/02";"53";"25/02/2025";"2";"SS 309 a San Giuseppe di Comacchio";"10.696";"0";"6.369";"4.327";"8.537";"2.159";"10.696";"0"
"2025/02";"95";"12/02/2025";"3";"SS 10 tra Castel San Giovanni e Sarmato";"12.720";"2";"11.829";"889";"10.025";"2.695";"12.720";"0"
"2025/02";"95";"13/02/2025";"4";"SS 10 tra Castel San Giovanni e Sarmato";"13.217";"0";"12.375";"842";"10.446";"2.771";"13.217";"0"
"2025/02";"95";"14/02/2025";"5";"SS 10 tra Castel San Giovanni e Sarmato";"13.763";"2";"12.902";"859";"10.575";"3.188";"13.763";"0"
